본문제목,작성일,조회수,본내용,댓글
153423 [검사관련문의] O다리? X다리? 사진 new,15:36,20,"* 말머리 선택체크/공지등록 체크금지(운영진만 가능)* 하단 태그 단어표기/성격에 맞는 게시판 등록* 병원(선생님)실명 비방 및 상업적 홍보 금지/병원추천 신중* 회원간 상호비방 금지 및 예절준수https://cafe.naver.com/aclknee/141278무릎관련 협력병원, 재활센터 및 관련용품-http://cafe.naver.com/aclknee/5975카페 필독 내용-https://cafe.naver.com/aclknee/25670카페 운영규칙-https://cafe.naver.com/aclknee/99335병원홍보, 바이럴마켓팅금지-http://cafe.naver.com/aclknee/7752http://db.blueweb.co.kr/formmail/formmail.html?dataname=eximkim0국가유공,후유장해,보상,사고합의 전문가상담-https://band.us/band/64144732밴드모임 제목 : 25글자 이내로 간략하게 내용 : 손상된 부위, 현상황 , 궁금증 등 기재(성격에 맞는 게시판 및 말머리 체크) 저번달 대학병원에서 오른쪽은 1도정도 왼쪽은 5도정도 휘었다는 얘기를 들었는데요 현상태가 O다리? X다리?  어느쪽인지 궁금해서 여쭤봅니다!",
153420 [반월상연골판] 안녕하세요. 반월상연골 수술 관련 공유 하고 싶습니다. [ 10 ] new,15:00,39,"* 말머리 선택체크/공지등록 체크금지(운영진만 가능)* 하단 태그 단어표기/성격에 맞는 게시판 등록* 병원(선생님)실명 비방 및 상업적 홍보 금지/병원추천 신중* 회원간 상호비방 금지 및 예절준수https://cafe.naver.com/aclknee/141278무릎관련 협력병원, 재활센터 및 관련용품-http://cafe.naver.com/aclknee/5975카페 필독 내용-https://cafe.naver.com/aclknee/25670카페 운영규칙-https://cafe.naver.com/aclknee/99335병원홍보, 바이럴마켓팅금지-http://cafe.naver.com/aclknee/7752http://db.blueweb.co.kr/formmail/formmail.html?dataname=eximkim0국가유공,후유장해,보상,사고합의 전문가상담-https://band.us/band/64144732밴드모임 제목 : 25글자 이내로 간략하게 내용 : 손상된 부위, 현상황 , 궁금증 등 기재(성격에 맞는 게시판 및 말머리 체크) ​ 안녕하세요. 이번에 다친곳은 반월상 연골판 외측 파열인데, MRI 찍어본 관절전문병원에서는 수술을 권유 했습니다. 11년전에는 내측 파열이 되어, 수술을 1회 실시했던 상황이고, 이번에 외측으로 재파열 되어 재수술 예정입니다. ​ 대학병원에서 수술을 진행해야 할지, 동네 관절전문병원에서 실시해도 될지 고민이 되어 정보 공유를 하고 싶습니다. 유명하신 대학병원은 진료만 해도 몇달 밀려있는 상황이어서, 고민이 됩니다. ​ 최근에 반월상 연골 관련하여 진단 받거나, 수술하신분들 추천해주실 병원 있다면 부탁드립니다. 재수술이라 신경쓰이는 부분이 더 많습니다. 부탁드립니다ㅠㅠ ​ 예전에 ㄱㅂㅅㅅ병원 ㅇㅈㅎ 교수님께 첫 수술을 받았었는데, 지금은 다른 병원으로 가셔서 진료만 본다고 하시더라구요. ​ ​",저도 ㄱㄷㄱㅎㄷ 수술기다리는데 2월8일이니 너무오래걸리니 가까운곳에서 수술할까 고민이네요--->고민되시죠… 진료가 아니라 수술이 2월 8일 이세요?--->수술일이 다차서 2월말잡혔는데 걷질 못한다고 그나마 당겨주신건데도 발병후 1달반 기다리네요--->저도 걸어도 아프고 앉아있어도 아프고…그래도 대학병원인데 한달반이면 빠른편 인거같긴한데요ㅠ 교수님 어느분이새요? 저는 지금 진료부터 봐야하는 상황이라서요--->ㄱㄷㄱㅎㄷ ㅇㅅㅎ 교수님이세요--->아하~ 그분도 연골 수술로 유명하신 분인가요? 병원 알아보는게 가장 큰 일이네요--->저는 무조건 대학병원이 낫다고 생각해요. 심지어 엑스레이 기구도 비교불가 최신이더라구요. 제경험은 동네 유명하다는병원(여기도 진료가 힘듦) 서울삼성 이었습니다. 정말 기계부터 비교불가였어요--->맞아요 저도 왠만하면 대학병원에서 받고 싶은데 기간이 오래 걸려서 일단 예약 걸어놓고 그동안은 조심하며 지내야 할까봐요ㅠ 회원님도 대학병원에서 수술 받으신 걸까요?--->저는 돌고있는데 진짜 2년뒤에나 가능하다해서 ㅠㅠ 이번달 진료 받고 서울삼성 빠른 쌤으로 다시 안내더 받으려구요 ㅠㅠ 이번달 건대진료인데 한번 진짜 졸라 보려구요 ㅠ저는 걷고는 있고 삶에 대단한 불편함이 있는정도예요--->2년뒤…심각하네요ㅠㅠ 어차피 수술할꺼면 빨리 헤치워버리는게 정신 건강에 좋을듯 해요. 건대 ㅇㄷㅇ 교수님이세요? 전 지금 보니 3월 말쯤에나 진료 가능하더라구요
153405 [반월상연골판] 통증 없는 반월상 연골판 파열 진단 [ 8 ] new,12:18,128,,
153396 [재활관련문의] 원판형반월판절제봉합 7주차 자력 굴곡 new,8:50,46,"* 말머리 선택체크/공지등록 체크금지(운영진만 가능)* 하단 태그 단어표기/성격에 맞는 게시판 등록* 병원(선생님)실명 비방 및 상업적 홍보 금지/병원추천 신중* 회원간 상호비방 금지 및 예절준수https://cafe.naver.com/aclknee/141278무릎관련 협력병원, 재활센터 및 관련용품-http://cafe.naver.com/aclknee/5975카페 필독 내용-https://cafe.naver.com/aclknee/25670카페 운영규칙-https://cafe.naver.com/aclknee/99335병원홍보, 바이럴마켓팅금지-http://cafe.naver.com/aclknee/7752http://db.blueweb.co.kr/formmail/formmail.html?dataname=eximkim0국가유공,후유장해,보상,사고합의 전문가상담-https://band.us/band/64144732밴드모임 원판형반월상연골 부분절제봉합 7주 5일 되가는데.... (6주체중부하금지,90도     6주이후 체중부하 90도이상) 신전은 다 되는거 같은데(신전 다 하고 더 힘주면 아픔) ​ 자력 굴곡 각도가 안나오는거 같아요... cpm은 120도정도 나오면서 조금조금씩 느는데 자력굴곡이 90도?에서 멈춘거같아요 90도에서 아무리 힘을줘도 꽉 막힌것 같고...안움직이고 아파요...ㅠㅠ ​ 재활을 더 열심히해야할까요 저 같으셨던 분들 계신가요 ㅠㅠ",
153390 [반월상연골판] 반월상 연골파열 [ 2 ] new,4:35,120,"* 말머리 선택체크/공지등록 체크금지(운영진만 가능)* 하단 태그 단어표기/성격에 맞는 게시판 등록* 병원(선생님)실명 비방 및 상업적 홍보 금지/병원추천 신중* 회원간 상호비방 금지 및 예절준수https://cafe.naver.com/aclknee/141278무릎관련 협력병원, 재활센터 및 관련용품-http://cafe.naver.com/aclknee/5975카페 필독 내용-https://cafe.naver.com/aclknee/25670카페 운영규칙-https://cafe.naver.com/aclknee/99335병원홍보, 바이럴마켓팅금지-http://cafe.naver.com/aclknee/7752http://db.blueweb.co.kr/formmail/formmail.html?dataname=eximkim0국가유공,후유장해,보상,사고합의 전문가상담-https://band.us/band/64144732밴드모임 9년 전쯤 광주 ㄷ ㅇ 병원에서 수술하자고 해서 안하고 광주소재 대학병원 에서 무릎 근력운동하라고 해서 꾸준히 안햇던거 같습니다 산을 좋아해서 한달에 1번 정도 등산을 하고 올 초 평소하산 시간비도 너무 빨리 하산해서 그런지 등산하고 난 다음부터 좌측 무릎이 간혈적 으로 따끔 거리고 좌측 다리 하단 뒤쪽이 땡기네요 그래서 하산하면서 너무 무리 해서 조금더 찢어진거 같습니다 그래서 큰 병원으로 갓다 와야 할꺼 같믄데 서울쪽으로 추천좀 해 주세요 제목 : 25글자 이내로 간략하게 내용 : 손상된 부위, 현상황 , 궁금증 등 기재(성격에 맞는 게시판 및 말머리 체크)",바ㄹㅅ병원 ㄱㄷㄱ원장님 저도 추천받고 갔는데 과잉진료 없고 환자 중심 진료 하셨어요--->감사합니다
153388 [반월상연골판] 파열 되신분 쪼그려 앉기 되나요? [ 7 ] new,2:57,175,"* 말머리 선택체크/공지등록 체크금지(운영진만 가능)* 하단 태그 단어표기/성격에 맞는 게시판 등록* 병원(선생님)실명 비방 및 상업적 홍보 금지/병원추천 신중* 회원간 상호비방 금지 및 예절준수https://cafe.naver.com/aclknee/141278무릎관련 협력병원, 재활센터 및 관련용품-http://cafe.naver.com/aclknee/5975카페 필독 내용-https://cafe.naver.com/aclknee/25670카페 운영규칙-https://cafe.naver.com/aclknee/99335병원홍보, 바이럴마켓팅금지-http://cafe.naver.com/aclknee/7752http://db.blueweb.co.kr/formmail/formmail.html?dataname=eximkim0국가유공,후유장해,보상,사고합의 전문가상담-https://band.us/band/64144732밴드모임 제목 : 25글자 이내로 간략하게 내용 : 손상된 부위, 현상황 , 궁금증 등 기재(성격에 맞는 게시판 및 말머리 체크) ​ 동네 병원 갔다 x-ray 찍고 피도 뽑아보더니 반월상 연골판 파열 되었다고 반깁스에 목발 해줘서 확인할겸 소견서 들고 3차 병원 가서 다시 x-ray,  mri 찍었어요. 그 후로 몇주간 목발 짚다가 보조기 차다 지난주에 풀었어요. 근데 무릎을 완전 접기가 아파서 힘들어요. 교수님은 아플리가 없다는 식인데.. 재활로 근력을 키우면 괜찮아 지는지.. 바닥에 앉으려 할때 무릎 굽히면 아파서 깜짝 놀라요. 괜찮아지는 걸까요? (적당히 굽히는건 괜찮고 거의 쪼그려 앉다시피정도?) 아빠 다리도 아파서 안되는데 앞으로 계속 이런걸까봐 걱정되요. ​","저도 아빠다리, 쪼그려앉기 안되는데 pt샘이 그 자세 두 개는 평생 안해도 되는 자세라고, 정말 뭎에 안좋으니까 안된다고 스트레스 받지말고 아예 하지 말라시더라구요.--->전 요가 강사라 이 동작들이 안되면 일을 못해서 걱정이에요--->요가강사시면 쪼그려앉기 안할수가 없군요--->원래 파열은 오므리기 어려워요 혹 예전에 생긴 파열인가요?--->12월 초에 쪼그려 앉다가 파열 됐는데 꼭 앉지 않아도 무릎 접으면 아파요. 교수님은 제 정도에 아픈게 이해 안된다는듯 하고--->조금 파열 됬나봐요   파열됬음  아픈건 가만 해야되요  헬스장서 무게 안치는 선에서   앉아서  하는근력운동해서근육을 만들면  통증이 덜해요 쪼그리는일하는거 아님쪼그리지 마세요  사람마다  느끼는 통증정도가 달라 아파할수 있어요--->파열됐는데 자꾸 구부려서 체중 싣게 되면 경험상 파열 더 심해졌어요. 더구나 통증이 있다하시면..ㅠㅠ 안하시는게 좋아요."
153375 [미세천공술] 왼쪽무릎 MRI 진료 및 상담 결과 사진 [ 6 ] new,2024.01.14.,195,"* 말머리 선택체크/공지등록 체크금지(운영진만 가능)* 하단 태그 단어표기/성격에 맞는 게시판 등록* 병원(선생님)실명 비방 및 상업적 홍보 금지/병원추천 신중* 회원간 상호비방 금지 및 예절준수https://cafe.naver.com/aclknee/141278무릎관련 협력병원, 재활센터 및 관련용품-http://cafe.naver.com/aclknee/5975카페 필독 내용-https://cafe.naver.com/aclknee/25670카페 운영규칙-https://cafe.naver.com/aclknee/99335병원홍보, 바이럴마켓팅금지-http://cafe.naver.com/aclknee/7752http://db.blueweb.co.kr/formmail/formmail.html?dataname=eximkim0국가유공,후유장해,보상,사고합의 전문가상담-https://band.us/band/64144732밴드모임 제목 : 25글자 이내로 간략하게 내용 : 손상된 부위, 현상황 , 궁금증 등 기재(성격에 맞는 게시판 및 말머리 체크) ​ 1월10일 mri 결과 왼쪽무릎 1.0×1.3cm 박리(2cm이하) 외상성 전방연골 파손 부분이 하중을 받지 않는 부분이고 환자나이 50 입니다 ​ 진료의견 1. 관절내시경 미세천공술 + 카티스템/입2박3일 목발 6주 2. 관절내시경 미세천공술 + 카트리젠(콜라겐)/입2박3일목6주 3. 관절내시경 미세천공술만 시행 / 입6박7일 목발4주 ​ 3곳의 진료상담 결과입니다. ​ 어떻게 결정해야 할지 비용은 1.2.3번순으로 낮습니다. ​ 병원결정 고민중입니다. ​ ​","진단이 비슷합니다...전방 슬개대퇴관절쪽 연골떨어졌다하고(뼈멍도있음) 체중부하 부위 아니라고 그냥 지켜보자다가 두달 뒤 수술얘기 들었어요. (저는 적어주신 방법 중 2번만 설명 들음) 천공술만 할시 재생이 잘 안될수도 있어서 보호막? 개념으로 콜라겐을 덮어두는거라고 하더라구요..간단한 수술이라는데 목발은 6주에 체중부하 금지라네요ㅠ--->우선 미세천공술은 기존 연골 조직인 초자연골이 아닌 섬유 연골(1형 콜라겐)로 재생되어 내구성이 떨어진다고합니다. 콜라겐 덮는 것은 미세천공술한 부위 보강하는 개념인데, 마찬가지로 섬유연골 재생이라고 하고요. 카티라이프, 카티스템, 메가카티 등의 치료법은 기존 연골 조직인 초자연골로 재생된다고 합니다.--->카티스템도 많이 쓰이는 치료법인긴 한데 손상 부위가 2cm^2 이하라 실손이 안 될 수도 있으니 보험사 확인은 필요하실 수 있습니다(신의료기술평가 기준으로 실비처리가 되는데, 카티스템은 2-10cm^2 결손에 icrs 등급 4등급으로 평가받음).--->최근에 나온 메가카티는 카티스템 대비 저렴하고 1.5~10cm^2에 icrs3-4 등급으로 승인받아 좀 더 범위가 넓긴 하니 그것도 알아보시면 좋을 것 같습니다. 결손면적이 적어 그냥 미세천공술만 하자는 의사선생님도 많으실 것 같네요.--->같은 부위 수술 했습니다 재작년에 미세천공 작년에 미세천공 카티스템 두번!!수술전에 미리 다이어트 운동 하시고 수술받으시면 재활에 도움되실것같습니다--->2.0 * 0.8로 ICRS4 등급 받아서 카티스템 했어요... 실비 있고, 확률이 1% 라도 좋은걸로 결정했어요~~"
153374 [반월상연골판] 주말내내 수술 할지말지 이거만 고민하고 있네요...어떡해야 하는지.. [ 1 ] new,2024.01.14.,188,"* 말머리 선택체크/공지등록 체크금지(운영진만 가능)* 하단 태그 단어표기/성격에 맞는 게시판 등록* 병원(선생님)실명 비방 및 상업적 홍보 금지/병원추천 신중* 회원간 상호비방 금지 및 예절준수https://cafe.naver.com/aclknee/141278무릎관련 협력병원, 재활센터 및 관련용품-http://cafe.naver.com/aclknee/5975카페 필독 내용-https://cafe.naver.com/aclknee/25670카페 운영규칙-https://cafe.naver.com/aclknee/99335병원홍보, 바이럴마켓팅금지-http://cafe.naver.com/aclknee/7752http://db.blueweb.co.kr/formmail/formmail.html?dataname=eximkim0국가유공,후유장해,보상,사고합의 전문가상담-https://band.us/band/64144732밴드모임 ​ 물혹이 갑자기 생겨서 뽑았는데 바로 다시 차오르고 점점커지고 통증도 와서 mri 찍었더니 반월상연골 파열 이라네요...물혹이 밖으로 나와서 알게된거지 다치거나 한게 아니라서 이 파열이 몇달전?몇년전? 언제부터 있던건지 알수가 없네요;; 자료 가지고 지역에서 유명한 무릎 전문병원 찾아가니 절제술+낭종제거 수술 하라네요 아버지 인공관절 수술이 잘되서 수술실력에 대한 믿음은 있는분인데 그 이전에 인터넷 보면 볼수록 40세에 절제 하는건 빠르고 아까운거 같아요.. 진짜 안에 혹만 없다면 수술안하고 보존치료 운동으로 최대한 버티고 싶은데 문제는 혹이네요 안에 2개 있고 관이 연결되서 베이커낭종으로 뒷쪽으로 계속 생겨서 통증이 있으니... 수술 해야겠죠? 반월상 연골 절제하고도 재활운동 열심히 해서 일상생활에 무리없이 잘 돌아가신분들이 훨씬더 많겠죠?​ ​",네 수술하셔야되죠 혹을 살펴 봐야하니깐요 물혹만 있음 몰라도 베이커 낭종까지 있어 살펴 봐야해요 전 조직검사까지 했어요 근력운동하시고 살안찌면 오래 사용할수 있을거에요
153371 [반월상연골판] 반월상연골판 수술후 재활문의 [ 3 ] new,2024.01.14.,129,"* 말머리 선택체크/공지등록 체크금지(운영진만 가능)* 하단 태그 단어표기/성격에 맞는 게시판 등록* 병원(선생님)실명 비방 및 상업적 홍보 금지/병원추천 신중* 회원간 상호비방 금지 및 예절준수https://cafe.naver.com/aclknee/141278무릎관련 협력병원, 재활센터 및 관련용품-http://cafe.naver.com/aclknee/5975카페 필독 내용-https://cafe.naver.com/aclknee/25670카페 운영규칙-https://cafe.naver.com/aclknee/99335병원홍보, 바이럴마켓팅금지-http://cafe.naver.com/aclknee/7752http://db.blueweb.co.kr/formmail/formmail.html?dataname=eximkim0국가유공,후유장해,보상,사고합의 전문가상담-https://band.us/band/64144732밴드모임 초등학생 아이 약10개월전에 연골판파열후 절제수술받았었습니다. 축구하는 아이이구요..5개월 정도 지난 후 담당쌤께서 기본훈련 천천히 해보라고 하셔서 시작했구요..근데 여전히 자꾸 욱씬거린다고 하고 요즘은 통증이 조금 더 심해져서 걱정이네요..mri상으론 아무 문제 없다는데 시간이 약인건지..다른병원가서 다른선생님들 소견도 좀 듣고싶어서요.. 소아정형외과를 꼭 가야하는건지 일반정형외과를 가도 되는건지..대학병원은 소아정형으로 분류가 되어있는데 무릎전문이신 선생님이 별로 없는듯 해서요.. 무릎관련 잘하시는 선생님 추천 좀 받을수 있을까요? 서울이구요..지역은 상관없습니다","수술하신 주치의 선생님이 상태를 잘 알지 않을까 싶기도 하네요.수술적인 부분과 함께 재활적인 부분을 잘 고려하셔서, 치료 잘 받으셨으면 합니다--->저는 올해25살 청년입니다.저도 야구랑 킥복싱 검도 여러 운동을 했었고 초등학교3학년에 반월상 연골판 파열로 봉합수술 하였는데요. 어렸을때는 노는게 마냥 좋아서 꾸준히 축구부 달리기 피구 등 운동을 계속 했었는데 정말 후회중 입니다.. 물론 파열 정도나 사람에 따라서 다르겠지만 저같은 경우는 봉합도 잘되었고 크게 불평한것고 없었는데 고등학교 2학년부터 통증이 심해지더니 결국 체중부하 있는 부분 연골판이 이미 다 닳아 없어졌다고 하네요. 재수술까지도 했지만 지금도 하루하루 정말 힘들게 살고있습니다.더군다나 축구는 무릎에 부담이 많이가는 스포츠라서 생각 정말 잘 하셔야됩니다.. 저처럼 20살에 이런상황되면 선택지가 없어요..치료 방법도없구요. 어느 병원을 가도 대부분 활동 최대한 하지말라고, 아프더라도 참고 살아야된다고..그리고 저는 건대 스포츠재활센터에서 재활이랑 운동능력검사도 받아보았는데 비추천드려요..첫째가 너무 비싸고 운동능력검사 외 재활운동 같은 부분은 실비도 안되고 따로 헬스도 열심히하고 거기서 알려주는 운동도 정말 열심히했는데도 계속 통증있는부분이랑 불편한부분 말해도 그냥 단순 운동부족 이라고만 합니다. 재활운동도 진짜 기본적인거만 알려주고. 가서 한시간하는데 한번에 7만원이였나..? 계속 케어 해주시는것도 아니구 이거 하고 계세요. 하고 다른분 케어하러 가십니다.재활도 중요하지만 성장기간동안 꾸준히 경과 확인 하시면 좋을것 같아요. 저도 mri 비용 때문에 그냥 아프면 참던게 가장 문제였지 싶네요.쾌차하시길 기원합니다.--->통증은 절대로 시간이 약이 되지는 않는거 같아요 수술은 당장 급한 손상을 처치하는거지만연골이 손상되게끔 만드는 근본적인 원인은 아이의 몸상태에 있는거라그게 안바뀌면 계속 연골에 스트레스를 주겠죠저도 특별히 다친건 아니었는데 제가 움직이는 습관이나 근육이 계속 십자인대나 연골에 스트레스를 주고있더라구요재활센터 가서 운동하면서 그게 바뀌니깐 병원에 가서 굳이 물리치료,주사 안맞더라도 통증이 확연하게 줄었네요"
153364 [반월상연골판] ♡반월상연골 수술 문의드립니다♡ [ 1 ] new,2024.01.14.,115,"* 말머리 선택체크/공지등록 체크금지(운영진만 가능)* 하단 태그 단어표기/성격에 맞는 게시판 등록* 병원(선생님)실명 비방 및 상업적 홍보 금지/병원추천 신중* 회원간 상호비방 금지 및 예절준수https://cafe.naver.com/aclknee/141278무릎관련 협력병원, 재활센터 및 관련용품-http://cafe.naver.com/aclknee/5975카페 필독 내용-https://cafe.naver.com/aclknee/25670카페 운영규칙-https://cafe.naver.com/aclknee/99335병원홍보, 바이럴마켓팅금지-http://cafe.naver.com/aclknee/7752http://db.blueweb.co.kr/formmail/formmail.html?dataname=eximkim0국가유공,후유장해,보상,사고합의 전문가상담-https://band.us/band/64144732밴드모임 제목 : 25글자 이내로 간략하게 내용 : 손상된 부위, 현상황 , 궁금증 등 기재(성격에 맞는 게시판 및 말머리 체크) ●오른쪽 내측반월상연골 수평파열 ​ ●의사소견 ;   하기도안하기도 애매하다 근력운동 후 3개월 지켜보자 ​ 현상태. 물차는 증상이 생기고 통증과 무릅에 힘이 잘 안들어갑니다. ​ 수술 하신분들중 추천병원 있으시면.개인 쪽지 부탁드립니다. ​ 연골 수술이후에도 러닝이나 등산이 가능할까요? 무릅의. 소중함을 이제야 알게되었습니다 ​ 카페 고수님들도와주세요 ​ ​ ​","일단은.. 등척성운동, 밴드 운동 가벼운 기구 운동등으로 근력운동을 하시면 무릎 상태를 지켜봐주시고차후에 일정기간이 지난 후에도 불편함이 심하고, 붓기 등이 있다고한다면, 정확한 검사를 받아보신후에결정해보시는것이 어떨까 싶습니다."
